Date Time,Close,Open,High,Low,Change %,Volume
2017-09-15 00:00:00,110.84,110.22,111.33,109.55,0.55%,150
2017-09-14 00:00:00,110.23,110.48,111.03,110.08,-0.23%,150
2017-09-13 00:00:00,110.48,110.19,110.7,109.92,0.28%,150
2017-09-12 00:00:00,110.17,109.42,110.27,109.25,0.69%,150
2017-09-11 00:00:00,109.41,108.2,109.52,108.14,1.46%,150
2017-09-08 00:00:00,107.84,108.45,108.5,107.33,-0.56%,150
2017-09-07 00:00:00,108.45,109.23,109.28,108.06,-0.71%,150
2017-09-06 00:00:00,109.23,108.81,109.41,108.45,0.39%,150
2017-09-05 00:00:00,108.81,109.73,109.84,108.64,-0.85%,150
2017-09-04 00:00:00,109.74,109.4,109.94,109.31,-0.48%,150
2017-09-01 00:00:00,110.27,109.97,110.42,109.56,0.27%,150
2017-08-31 00:00:00,109.97,110.25,110.67,109.89,-0.24%,150
2017-08-30 00:00:00,110.23,109.75,110.44,109.53,0.44%,150
2017-08-29 00:00:00,109.75,109.27,109.91,108.27,0.46%,150
2017-08-28 00:00:00,109.25,109.26,109.42,109.03,-0.10%,150
2017-08-25 00:00:00,109.36,109.56,109.86,109.11,-0.18%,150
2017-08-24 00:00:00,109.56,109.06,109.61,108.83,0.49%,150
2017-08-23 00:00:00,109.03,109.56,109.83,108.92,-0.49%,150
2017-08-22 00:00:00,109.57,108.97,109.65,108.87,0.54%,150
2017-08-21 00:00:00,108.98,109.34,109.43,108.62,-0.19%,150
2017-08-18 00:00:00,109.19,109.58,109.61,108.61,-0.35%,150
2017-08-17 00:00:00,109.57,110.2,110.37,109.43,-0.56%,150
2017-08-16 00:00:00,110.19,110.67,110.95,110.02,-0.43%,150
2017-08-15 00:00:00,110.67,109.64,110.86,109.59,0.94%,150
2017-08-14 00:00:00,109.64,109.06,109.81,109.03,0.41%,150
2017-08-11 00:00:00,109.19,109.22,109.44,108.77,-0.03%,150
2017-08-10 00:00:00,109.22,110.08,110.19,109.14,-0.78%,150
2017-08-09 00:00:00,110.08,110.31,110.39,109.56,-0.21%,150
2017-08-08 00:00:00,110.31,110.73,110.83,110.23,-0.40%,150
2017-08-07 00:00:00,110.75,110.61,110.92,110.61,0.05%,150
2017-08-04 00:00:00,110.69,110.03,111.06,109.83,0.58%,150
2017-08-03 00:00:00,110.05,110.72,110.84,109.86,-0.61%,150
